时间,事件类型,边界框,置信度,目标类别
2025-04-05 15:01:48.501,检测,"[597.367919921875, 350.63165283203125, 774.656494140625, 488.52752685546875]",0.85,car
2025-04-05 15:01:48.501,检测,"[554.5682373046875, 331.7142333984375, 635.016845703125, 412.60504150390625]",0.709,car
2025-04-05 15:01:48.519,检测,"[301.15155029296875, 343.9246826171875, 513.2061767578125, 490.49755859375]",0.896,car
2025-04-05 15:01:48.520,检测,"[598.054931640625, 351.9239501953125, 776.344482421875, 486.0511474609375]",0.849,car
2025-04-05 15:01:48.520,检测,"[554.5584106445312, 333.0523376464844, 635.2185668945312, 413.1410217285156]",0.703,car
2025-04-05 15:01:48.538,检测,"[300.54669189453125, 344.39111328125, 512.7478637695312, 491.06085205078125]",0.892,car
2025-04-05 15:01:48.539,检测,"[597.7891845703125, 352.08154296875, 776.2486572265625, 486.0654296875]",0.848,car
2025-04-05 15:01:48.539,检测,"[554.4908447265625, 333.40057373046875, 634.6221923828125, 412.968017578125]",0.676,car
2025-04-05 15:01:48.566,检测,"[300.94610595703125, 344.56146240234375, 512.2230834960938, 490.41534423828125]",0.887,car
2025-04-05 15:01:48.567,检测,"[597.645263671875, 352.31219482421875, 775.548828125, 484.1485595703125]",0.851,car
2025-04-05 15:01:48.567,检测,"[554.5198364257812, 332.9892272949219, 635.8289184570312, 414.4728088378906]",0.665,car
2025-04-05 15:01:48.587,检测,"[300.27532958984375, 344.51605224609375, 512.2643432617188, 491.25250244140625]",0.893,car
2025-04-05 15:01:48.588,检测,"[596.6942138671875, 352.4968566894531, 775.5711669921875, 484.6999206542969]",0.856,car
2025-04-05 15:01:48.589,检测,"[553.882568359375, 333.8128662109375, 633.50830078125, 413.70263671875]",0.675,car
2025-04-05 15:01:48.615,检测,"[300.0283203125, 344.208251953125, 511.504638671875, 490.8858642578125]",0.896,car
2025-04-05 15:01:48.615,检测,"[596.0978393554688, 352.2479248046875, 774.3779907226562, 487.460205078125]",0.854,car
2025-04-05 15:01:48.616,检测,"[553.3097534179688, 333.95989990234375, 632.6674194335938, 413.8756103515625]",0.68,car
2025-04-05 15:01:48.642,检测,"[299.4647521972656, 344.55572509765625, 511.5009460449219, 490.63104248046875]",0.882,car
2025-04-05 15:01:48.642,检测,"[594.8255615234375, 351.62335205078125, 771.2940673828125, 486.14263916015625]",0.849,car
2025-04-05 15:01:48.643,检测,"[552.9498901367188, 333.977783203125, 632.2876586914062, 413.62506103515625]",0.726,car
2025-04-05 15:01:48.660,检测,"[298.45367431640625, 344.66766357421875, 510.81915283203125, 490.88214111328125]",0.884,car
2025-04-05 15:01:48.661,检测,"[594.669189453125, 351.6310729980469, 770.8046875, 485.9316711425781]",0.85,car
2025-04-05 15:01:48.661,检测,"[552.681884765625, 333.9140625, 632.0386962890625, 413.4830322265625]",0.716,car
2025-04-05 15:01:48.678,检测,"[296.47869873046875, 344.77606201171875, 510.47723388671875, 490.35888671875]",0.87,car
2025-04-05 15:01:48.678,检测,"[594.251708984375, 351.16845703125, 769.871826171875, 483.22015380859375]",0.852,car
2025-04-05 15:01:48.678,检测,"[551.9522705078125, 333.745849609375, 631.8509521484375, 413.6143798828125]",0.717,car
2025-04-05 15:01:48.696,检测,"[295.6763916015625, 344.708251953125, 509.788818359375, 489.94140625]",0.864,car
2025-04-05 15:01:48.697,检测,"[594.10888671875, 351.0454406738281, 769.68115234375, 483.1175842285156]",0.858,car
2025-04-05 15:01:48.698,检测,"[551.0, 332.959716796875, 631.011474609375, 413.6884765625]",0.702,car
2025-04-05 15:01:48.714,检测,"[295.1124267578125, 344.99884033203125, 508.97509765625, 490.57733154296875]",0.874,car
2025-04-05 15:01:48.715,检测,"[592.6812133789062, 351.32037353515625, 769.2562866210938, 482.71783447265625]",0.856,car
2025-04-05 15:01:48.715,检测,"[549.7966918945312, 333.58880615234375, 630.4707641601562, 414.03692626953125]",0.665,car
2025-04-05 15:01:48.733,检测,"[294.392578125, 345.00927734375, 508.2681884765625, 491.30517578125]",0.877,car
2025-04-05 15:01:48.734,检测,"[591.7679443359375, 351.2999267578125, 768.8541259765625, 484.56622314453125]",0.85,car
2025-04-05 15:01:48.734,检测,"[549.36865234375, 333.5587158203125, 629.0069580078125, 413.35693359375]",0.594,car
2025-04-05 15:01:48.752,检测,"[294.7288818359375, 344.87115478515625, 507.69482421875, 491.53472900390625]",0.888,car
2025-04-05 15:01:48.753,检测,"[591.3046875, 351.9659423828125, 768.52734375, 486.27197265625]",0.855,car
2025-04-05 15:01:48.753,检测,"[548.046142578125, 333.7154541015625, 628.2503662109375, 413.9017333984375]",0.609,car
2025-04-05 15:01:48.784,检测,"[291.0755615234375, 344.86676025390625, 506.5433349609375, 491.76507568359375]",0.875,car
2025-04-05 15:01:48.784,检测,"[590.4984741210938, 351.90472412109375, 768.3223266601562, 490.82415771484375]",0.843,car
2025-04-05 15:01:48.785,检测,"[547.8744506835938, 333.78192138671875, 626.8652954101562, 413.40118408203125]",0.583,car
2025-04-05 15:01:48.785,检测,"[772.557373046875, 357.6663818359375, 800.9613037109375, 432.292236328125]",0.522,person
2025-04-05 15:01:49.094,检测,"[294.1083984375, 344.25946044921875, 505.825927734375, 491.8262939453125]",0.889,car
2025-04-05 15:01:49.095,检测,"[590.7127685546875, 351.89532470703125, 768.3115234375, 489.91680908203125]",0.832,car
2025-04-05 15:01:49.095,检测,"[547.353515625, 333.83612060546875, 626.481201171875, 413.12750244140625]",0.592,car
2025-04-05 15:01:49.097,检测,"[590.67724609375, 351.97979736328125, 767.6357421875, 490.91082763671875]",0.84,car
2025-04-05 15:01:49.098,检测,"[276.61688232421875, 343.79718017578125, 497.47784423828125, 495.443359375]",0.816,car
2025-04-05 15:01:49.098,检测,"[770.99072265625, 355.6021728515625, 800.494384765625, 432.2513427734375]",0.552,person
2025-04-05 15:01:49.100,检测,"[591.206787109375, 351.65802001953125, 766.2685546875, 486.05816650390625]",0.836,car
2025-04-05 15:01:49.100,检测,"[258.3858642578125, 344.18280029296875, 491.5357666015625, 499.31365966796875]",0.832,car
2025-04-05 15:01:49.101,检测,"[543.9302978515625, 334.1170654296875, 623.1630859375, 413.5684814453125]",0.714,car
2025-04-05 15:01:49.101,检测,"[770.3831787109375, 355.38995361328125, 800.4962158203125, 432.42816162109375]",0.512,person
2025-04-05 15:01:49.104,检测,"[253.11622619628906, 343.1458740234375, 485.7110595703125, 504.93341064453125]",0.843,car
2025-04-05 15:01:49.104,检测,"[589.8092041015625, 352.13470458984375, 766.0487060546875, 488.87542724609375]",0.829,car
2025-04-05 15:01:49.105,检测,"[540.9708251953125, 334.48272705078125, 622.354736328125, 414.3675537109375]",0.753,car
2025-04-05 15:01:49.108,检测,"[232.95578002929688, 343.2283935546875, 482.0112609863281, 511.824951171875]",0.881,car
2025-04-05 15:01:49.108,检测,"[588.658203125, 351.57598876953125, 765.224365234375, 488.34466552734375]",0.813,car
2025-04-05 15:01:49.109,检测,"[539.4202270507812, 334.37725830078125, 622.0215454101562, 415.10357666015625]",0.717,car
2025-04-05 15:01:49.111,检测,"[218.35720825195312, 344.5504150390625, 473.7669372558594, 514.5338745117188]",0.891,car
2025-04-05 15:01:49.111,检测,"[589.2899780273438, 352.732421875, 765.5470581054688, 492.4229736328125]",0.817,car
2025-04-05 15:01:49.112,检测,"[538.21728515625, 335.04730224609375, 622.006591796875, 416.24139404296875]",0.678,car
2025-04-05 15:01:49.113,检测,"[217.2904052734375, 344.53460693359375, 470.84320068359375, 522.3193969726562]",0.93,car
2025-04-05 15:01:49.114,检测,"[588.4605102539062, 354.07745361328125, 765.2033081054688, 490.11126708984375]",0.83,car
2025-04-05 15:01:49.114,检测,"[537.1856689453125, 335.15771484375, 621.9124755859375, 418.4415283203125]",0.719,car
2025-04-05 15:01:49.116,检测,"[216.20599365234375, 343.97125244140625, 465.57952880859375, 527.7774658203125]",0.93,car
2025-04-05 15:01:49.116,检测,"[588.2442626953125, 354.0313720703125, 765.7420654296875, 489.986328125]",0.831,car
2025-04-05 15:01:49.116,检测,"[537.1411743164062, 336.2659912109375, 620.0410766601562, 419.9893798828125]",0.772,car
2025-04-05 15:01:49.118,检测,"[215.54525756835938, 343.26629638671875, 452.7384338378906, 534.581787109375]",0.935,car
2025-04-05 15:01:49.119,检测,"[589.2738037109375, 353.7393798828125, 766.0848388671875, 494.401123046875]",0.814,car
2025-04-05 15:01:49.119,检测,"[535.1828002929688, 336.23699951171875, 619.4712524414062, 419.98968505859375]",0.808,car
2025-04-05 15:01:49.121,检测,"[216.1251983642578, 343.300537109375, 443.76202392578125, 538.2535400390625]",0.922,car
